,Price,Address,City,bed,bath,SQFT
180,"$599,000",9301McknightLOOP2,AustinTX78717,2,2,"1,976sq.ft"
181,"$599,000",5405ManorRD,AustinTX78723,2,2,"2,006sq.ft"
182,"$599,000",225TheHillsDr2,TheHillsTX78738,2,2,"2,086sq.ft"
183,"$599,000",7124BoyleDR,AustinTX78724,2,2,"2,193sq.ft"
184,"$599,000",8204WilliamsonCreekDR,AustinTX78736,2,2,"2,250sq.ft"
185,"$599,000",414Eagle,LakewayTX78734,2,2,"2,273sq.ft"
186,"$599,000",12603BeaconsdaleCIR,AustinTX78727,2,2,"2,277sq.ft"
187,"$599,000",8213ForestHeightsLN,AustinTX78749,2,2,"2,353sq.ft"
188,"$599,000",12815PoquosonDR,AustinTX78727,2,2,"2,363sq.ft"
189,"$599,000",109CartwheelBND48,AustinTX78738,2,2,"2,427sq.ft"
190,"$599,000",10417WalpoleLn,AustinTX78739,2,2,"2,485sq.ft"
191,"$595,000",2108TilleryST10,AustinTX78723,2,2,"1,528sq.ft"
192,"$595,000",3848BroadwayPATH,RoundRockTX78681,3,3,"2,525sq.ft"
193,"$595,000",15905FennimoreCV,AustinTX78717,3,3,"2,966sq.ft"
194,"$594,000",606WLynnST29,AustinTX78703,2,2,"1,150sq.ft"
195,"$590,000",48EEastAve2707,AustinTX78701,1,1,699sq.ft
196,"$590,000",7301LunarDR,AustinTX78745,2,2,"1,550sq.ft"
197,"$590,000",7203BillHughesRD,AustinTX78745,2,2,"1,558sq.ft"
198,"$589,000",4910TomahawkTRL,AustinTX78745,2,2,"2,616sq.ft"
199,"$587,532",4319HoodParkDR,RoundRockTX78681,3,3,"2,694sq.ft"
200,"$549,900",904AcornOaksDR,AustinTX78745,3,3,"2,130sq.ft"
201,"$549,900",8319ColumbiaFallsDR,RoundRockTX78681,2,2,"2,345sq.ft"
202,"$549,900",11934BitternHOLW,AustinTX78758,2,2,"2,392sq.ft"
203,"$549,900",1417KramerLN20,AustinTX78758,3,3,"2,600sq.ft"
204,"$549,900",16920TidewaterCV,AustinTX78717,2,2,"2,910sq.ft"
205,"$549,500",555E5thST527,AustinTX78701,1,1,"1,520sq.ft"
206,"$549,000",12545MesaVerdeDR,AustinTX78737,2,2,"2,252sq.ft"
207,"$549,000",10412WTurnbullLOOPE33,AustinTX78717,2,2,"2,275sq.ft"
208,"$549,000",14909TexasST,AustinTX78734,2,2,"2,300sq.ft"
209,"$549,000",4313ArquesAve,RoundRockTX78681,3,3,"2,456sq.ft"
210,"$547,500",6020SpringdaleRD22,AustinTX78723,2,2,"1,595sq.ft"
211,"$545,000",12709CinchringLN,AustinTX78727,2,2,"2,263sq.ft"
212,"$545,000",8007BuckshotTRL,AustinTX78729,2,2,"2,568sq.ft"
213,"$545,000",16715MarsalaSpringsDR,RoundRockTX78681,3,3,"2,982sq.ft"
214,"$543,438",2108TilleryST1,AustinTX78723,2,2,"1,528sq.ft"
215,"$540,000",911StobaughST2,AustinTX78757,2,2,"1,116sq.ft"
216,"$540,000",6501AlleytonDR,AustinTX78725,2,2,"1,695sq.ft"
217,"$539,990",8315HathawayDRB,AustinTX78757,2,2,"1,098sq.ft"
218,"$537,600",2108TilleryST9,AustinTX78723,2,2,"1,528sq.ft"
219,"$537,000",203WSaintJohnsAve,AustinTX78752,2,2,"1,280sq.ft"
220,"$499,990",210SumaltGap,LakewayTX78738,2,2,"1,967sq.ft"
221,"$499,900",222WestAve1708,AustinTX78701,1,1,688sq.ft
222,"$499,900",2603ShilohDR,AustinTX78745,2,2,"1,420sq.ft"
223,"$499,900",6710LancretHillDR,AustinTX78745,2,2,"1,470sq.ft"
224,"$499,900",7207SBrookDR,AustinTX78736,2,2,"1,525sq.ft"
225,"$499,900",11214WindermereMDW,AustinTX78759,2,2,"1,599sq.ft"
226,"$499,900",6106ProvencialCV,AustinTX78724,2,2,"1,876sq.ft"
227,"$499,900",10306CaracaraDR,AustinTX78750,2,2,"2,053sq.ft"
228,"$499,900",6704MenchacaRD43,AustinTX78745,2,2,"2,102sq.ft"
229,"$499,900",4301LeslieAve,AustinTX78721,2,2,"2,160sq.ft"
230,"$499,900",14937PurslaneMeadowTRL,AustinTX78728,2,2,"2,221sq.ft"
231,"$499,500",8500GlenCanyonDR,RoundRockTX78681,2,2,"2,163sq.ft"
232,"$499,000",2105YellowJacketLN,AustinTX78741,,,
233,"$499,000",2105ScottLn,AustinTX78734,,,
234,"$499,000",2105YellowJacketLN,AustinTX78741,1,1,600sq.ft
235,"$499,000",222WestAve1109,AustinTX78701,1,1,685sq.ft
236,"$499,000",301RobertTMartinezJrST,AustinTX78702,1,1,994sq.ft
237,"$499,000",1305CaseySTB,AustinTX78745,2,2,"1,470sq.ft"
238,"$499,000",2705CharlesworthDR,AustinTX78745,2,2,"1,472sq.ft"
239,"$499,000",13508RedEgretDR,AustinTX78729,2,2,"1,506sq.ft"
240,"$470,000",13000BloomingtonDrivePlan:Braford,AustinTX78748,2,2,"2,274sq.ft"
241,"$470,000",6013BoyceLN,AustinTX78754,2,2,"2,684sq.ft"
242,"$469,990",12217CoronillaBND,AustinTX78748,4,4,"2,513sq.ft"
243,"$469,900",4011LillianLN,AustinTX78749,2,2,"1,382sq.ft"
244,"$469,420",6904CherryMeadowDR,AustinTX78745,1,1,"1,315sq.ft"
245,"$469,000",12124VerchotaDR,AustinTX78748,2,2,"1,868sq.ft"
246,"$469,000",4105PresidioLN,RoundRockTX78681,2,2,"2,292sq.ft"
247,"$468,490",2205AlamoHeightsAvenue,AustinTX78754,2,2,"2,088sq.ft"
248,"$465,001",3451MayfieldRanchBLVD705,RoundRockTX78681,3,3,"2,474sq.ft"
249,"$465,000",1818SLakeshoreBLVD2,AustinTX78741,1,1,770sq.ft
250,"$465,000",1507CoronaDR,AustinTX78723,1,1,"1,109sq.ft"
251,"$465,000",6003MarigoldTER,AustinTX78741,1,1,"1,120sq.ft"
252,"$465,000",555E5thST719,AustinTX78701,1,1,"1,178sq.ft"
253,"$465,000",1938HollyHillDR9,AustinTX78746,1,1,"1,220sq.ft"
254,"$465,000",40NEInterstate354D2,AustinTX78701,2,2,"1,360sq.ft"
255,"$465,000",2701SebringCirclePlan:Galloway,AustinTX78747,2,2,"1,690sq.ft"
256,"$465,000",13000BloomingtonDrivePlan:Randall,AustinTX78748,2,2,"1,848sq.ft"
257,"$463,990",10928DefenderTrailPlan:KingstonII,AustinTX78754,2,2,"2,088sq.ft"
258,"$460,000",1704E32ndST,AustinTX78722,1,1,"1,091sq.ft"
259,"$460,000",4804OakCliffDR,AustinTX78721,2,2,"1,300sq.ft"
260,"$439,900",1417KramerLN22,AustinTX78758,3,3,"1,964sq.ft"
261,"$439,550",8900CattaloLN,AustinTX78747,3,3,"1,533sq.ft"
262,"$439,000",9906WillersWAY,AustinTX78748,2,2,"1,813sq.ft"
263,"$439,000",4000RanchRoad6208,AustinTX78734,2,2,"1,881sq.ft"
264,"$439,000",12016TimberHeightsDR,AustinTX78754,2,2,"2,099sq.ft"
265,"$438,500",5624LittleTheaterBND,AustinTX78747,2,2,"1,875sq.ft"
266,"$437,990",10928DefenderTrailPlan:ElginII,AustinTX78754,2,2,"1,659sq.ft"
267,"$436,990",10014BadenLanePlan:TheGrandCanyon,AustinTX78754,2,2,"2,367sq.ft"
268,"$435,600",5417BlueBirdLN2,AustinTX78745,2,2,"1,079sq.ft"
269,"$435,000",13000BloomingtonDrivePlan:Kerry,AustinTX78748,2,2,"1,549sq.ft"
270,"$435,000",12109NTerrazaRDTH66,AustinTX78726,3,3,"2,233sq.ft"
271,"$434,990",10014BadenLanePlan:TheRoosevelt,AustinTX78754,3,3,"2,320sq.ft"
272,"$434,700",6020SpringdaleRD17,AustinTX78723,2,2,"1,595sq.ft"
273,"$430,000",1140NorthwesternAve,AustinTX78702,,,
274,"$430,000",1103ColonyNorthDR,AustinTX78758,2,2,"1,422sq.ft"
275,"$430,000",1513ArialDR,AustinTX78753,2,2,"1,884sq.ft"
276,"$430,000",1920O'CallahanDR,AustinTX78748,2,2,"2,026sq.ft"
277,"$430,000",8314PalacePKWY,AustinTX78748,2,2,"2,103sq.ft"
278,"$430,000",3820TailfeatherDR,RoundRockTX78681,2,2,"3,239sq.ft"
279,"$429,900",300CrockettST106,AustinTX78704,2,2,"1,239sq.ft"
280,"$395,990",8325CityTopBoulevardPlan:ThePioneer,AustinTX78724,2,2,"1,461sq.ft"
281,"$395,000",3010SiskinDR,AustinTX78745,2,2,"1,027sq.ft"
282,"$395,000",501W26thST107,AustinTX78705,2,2,"1,040sq.ft"
283,"$395,000",1012Milford,AustinTX78745,2,2,"1,197sq.ft"
284,"$395,000",207WElliottST,AustinTX78753,1,1,"1,330sq.ft"
285,"$395,000",8701EscarpmentBLVD94,AustinTX78749,2,2,"1,415sq.ft"
286,"$395,000",10805HammondsST,AustinTX78747,2,2,"2,042sq.ft"
287,"$394,990",10014BadenLanePlan:TheRedwoodII,AustinTX78754,2,2,"1,514sq.ft"
288,"$394,000",10111DobbinDR,AustinTX78748,,,
289,"$393,990",10014BadenLanePlan:TheJefferson,AustinTX78754,2,2,"1,512sq.ft"
290,"$393,990",8325CityTopBoulevardPlan:TheDenali,AustinTX78724,2,2,"1,813sq.ft"
291,"$390,000",2500LongviewST220,AustinTX78705,1,1,818sq.ft
292,"$390,000",310NorthfieldST,RoundRockTX78681,2,2,"1,916sq.ft"
293,"$389,900",12101SunderlandDR,AustinTX78753,2,2,"1,764sq.ft"
294,"$389,900",2502LeonST501,AustinTX78705,2,2,"1,036sq.ft"
295,"$389,000",9102ShepardDR,AustinTX78753,2,2,"1,247sq.ft"
296,"$389,000",811SussexDR,AustinTX78745,2,2,"1,332sq.ft"
297,"$389,000",7124OutfitterDR,AustinTX78744,2,2,"1,705sq.ft"
298,"$389,000",2001RockCreekDR,RoundRockTX78681,2,2,"2,080sq.ft"
299,"$386,990",10014BadenLanePlan:TheWashington,AustinTX78754,2,2,"1,400sq.ft"
300,"$350,000",1804GraveyardPointRD,AustinTX78734,1,1,"1,472sq.ft"
301,"$350,000",12283AbbeyGlenLN,AustinTX78753,2,2,"2,028sq.ft"
302,"$349,999",5820AbbyAnnLN,AustinTX78747,2,2,"1,364sq.ft"
303,"$349,990",3101DavisLN6803,AustinTX78748,2,2,"1,473sq.ft"
304,"$349,900",10505MarshitahsWAY,AustinTX78748,1,1,"1,054sq.ft"
305,"$349,900",12212BrigadoonLN141,AustinTX78727,2,2,"1,317sq.ft"
306,"$349,900",2632CenturyParkBLVD61,AustinTX78727,2,2,"1,540sq.ft"
307,"$349,000",15409ArmstrongAve,AustinTX78724,2,2,"2,400sq.ft"
308,"$348,990",DiamondleafBendPlan:TheRosemont,AustinTX78724,3,3,"2,733sq.ft"
309,"$347,990",5709BerriweatherDrive,AustinTX78724,2,2,"1,832sq.ft"
310,"$347,500",2100PipersFieldDR7,AustinTX78758,2,2,"1,300sq.ft"
311,"$346,995",2108TilleryST12,AustinTX78723,1,1,585sq.ft
312,"$346,990",13101BrahminDrivePlan:TheJustin,AustinTX78724,2,2,"1,832sq.ft"
313,"$345,000",2108TilleryST15,AustinTX78723,1,1,585sq.ft
314,"$345,000",2108TilleryST14,AustinTX78723,1,1,585sq.ft
315,"$345,000",2505SanGabrielST308,AustinTX78705,2,2,879sq.ft
316,"$345,000",5816RoderickDR,AustinTX78724,2,2,"1,657sq.ft"
317,"$344,900",12707LaSalleDR,AustinTX78727,1,1,"1,168sq.ft"
318,"$343,990",13101BrahminDrivePlan:TheIrvine,AustinTX78724,2,2,"1,796sq.ft"
319,"$343,990",DiamondleafBendPlan:TheQuincy,AustinTX78724,3,3,"2,656sq.ft"
320,"$299,000",7114ThannasWAY,AustinTX78744,2,2,"1,442sq.ft"
321,"$295,000",4513SecureLN,AustinTX78725,2,2,"1,300sq.ft"
322,"$295,000",2500LongviewST213,AustinTX78705,1,1,572sq.ft
323,"$295,000",7105TreasureCV13,AustinTX78745,2,2,916sq.ft
324,"$295,000",935LaPosadaDR145,AustinTX78752,2,2,"1,030sq.ft"
325,"$295,000",4620SendaLN,AustinTX78725,2,2,"1,293sq.ft"
326,"$295,000",4604CypressBND,AustinTX78744,2,2,"1,343sq.ft"
327,"$293,990",DiamondleafBendPlan:TheBellvue,AustinTX78724,2,2,"1,415sq.ft"
328,"$291,000",7903PersimmonTRL,AustinTX78745,,,
329,"$290,000",2500LongviewST112,AustinTX78705,1,1,572sq.ft
330,"$290,000",1009MarkhamLaneA,AustinTX78753,2,2,989sq.ft
331,"$289,999",6000ShepherdMountainCV313,AustinTX78730,2,2,918sq.ft
332,"$289,900",2409LeonST108,AustinTX78705,2,2,901sq.ft
333,"$289,500",715W22nd1/2ST303,AustinTX78705,1,1,682sq.ft
334,"$287,700",12291AbbeyGlenLn,AustinTX78753,2,2,"1,749sq.ft"
335,"$285,990",6900ERiversideDR14,AustinTX78741,2,2,"1,312sq.ft"
336,"$285,000",1748OhlenRD87,AustinTX78757,2,2,"1,194sq.ft"
337,"$284,500",2706SaladoST201,AustinTX78705,2,2,740sq.ft
338,"$280,000",12166MetricBLVD271,AustinTX78758,2,2,"1,004sq.ft"
339,"$280,000",1900ScofieldRidgePKWY5001,AustinTX78727,1,1,"1,089sq.ft"
340,"$175,000",2220WebbervilleRD222,AustinTX78702,1,1,398sq.ft
341,"$174,950",601NelrayBLVD9,AustinTX78751,1,1,390sq.ft
342,"$170,000",601NelrayBLVD8,AustinTX78751,1,1,390sq.ft
343,"$165,000",1015EYagerLN160,AustinTX78753,1,1,565sq.ft
344,"$150,000",4209ImperialDR,AustinTX78725,,,
345,"$135,000",4204KingsCT,AustinTX78725,,,
346,"$125,000",2701BurlesonRDB,AustinTX78741,,,
347,"$105,000",14506HuntersPASS,AustinTX78734,,,
348,"$105,000",14502HuntersPASS,AustinTX78734,,,
349,"$95,000",4102LowerDR,AustinTX78725,,,
350,"$95,000",3802LowerDR,AustinTX78725,,,
351,"$95,000",2502DouglasST,AustinTX78741,,,
352,"$80,000",4808BrookCreekCV,AustinTX78744,,,
